State,County,Make,Model,Count,Longitude,Latitude
WA,King,TESLA,MODEL Y,1,-122.03646,47.534065
WA,Clark,VOLKSWAGEN,ID.4,1,-122.5918493,45.6617058
WA,Clark,VOLVO,XC40,1,-122.405565,45.59009
WA,King,KIA,NIRO,1,-122.3223156,47.6402108
WA,Jefferson,VOLKSWAGEN,ID.4,1,-122.6872285,47.9281524
WA,King,HYUNDAI,KONA ELECTRIC,1,-122.3185,47.67949
WA,King,JEEP,WRANGLER,1,-122.1820969,47.3198995
WA,King,TESLA,MODEL 3,1,-122.12302,47.67668
WA,Snohomish,TESLA,MODEL Y,1,-122.37507,47.80807
WA,King,FORD,MUSTANG MACH-E,1,-121.8740496,47.5345546
WA,King,TOYOTA,RAV4 PRIME,1,-122.20264,47.6785
WA,Whatcom,MERCEDES-BENZ,EQS-CLASS SUV,1,-122.4569227,48.7470973
WA,King,TESLA,MODEL 3,1,-122.28339,47.549285
WA,King,RIVIAN,R1S,1,-122.326965,47.55015
WA,King,RIVIAN,R1S,1,-122.356145,47.52104
WA,King,TESLA,MODEL Y,1,-122.12302,47.67668
WA,Spokane,AUDI,E-TRON,1,-117.2459114,47.6525293
WA,Clark,TESLA,MODEL 3,1,-122.66592,45.678565
WA,King,RIVIAN,R1T,1,-122.378895,47.66905
WA,Thurston,BMW,I4,1,-122.8285,47.03646
WA,Pierce,KIA,NIRO,1,-122.2032237,47.0942956
WA,Clark,FORD,F-150,1,-122.5918493,45.6617058
WA,King,BMW,IX,1,-122.03309,47.58153
WA,King,TESLA,MODEL 3,1,-122.2377542,47.582905
WA,Kitsap,TESLA,MODEL Y,1,-122.6851642,47.506453
WA,King,VOLKSWAGEN,ID.4,1,-122.355145,47.505655
WA,Thurston,CHRYSLER,PACIFICA,1,-122.81709,46.988575
WA,Snohomish,TESLA,MODEL 3,1,-122.213105,47.95479
WA,King,SUBARU,SOLTERRA,1,-122.34301,47.659185
WA,Snohomish,TOYOTA,BZ4X,1,-122.240535,47.91139
WA,King,CHEVROLET,BOLT EV,1,-122.29179,47.43473
WA,Thurston,KIA,EV6,1,-122.8285,47.03646
WA,King,HYUNDAI,SANTA FE,1,-122.28339,47.549285
WA,King,TESLA,MODEL Y,1,-122.12302,47.67668
WA,King,NISSAN,LEAF,1,-122.209285,47.71124
WA,Chelan,TESLA,MODEL Y,1,-120.6619153,47.5970083
WA,King,TESLA,MODEL X,1,-122.201905,47.61385
WA,King,KIA,EV6,1,-122.388675,47.5415
WA,King,KIA,NIRO,1,-122.363215,47.3084
WA,Kitsap,VOLKSWAGEN,ID.4,1,-122.6468815,47.6344364
WA,King,TESLA,MODEL Y,1,-122.12302,47.67668
WA,Snohomish,TESLA,MODEL 3,1,-122.240535,47.91139
WA,King,KIA,SPORTAGE,1,-122.12302,47.67668
WA,Clark,VOLKSWAGEN,ID.4,1,-122.405565,45.59009
WA,King,LUCID,AIR,1,-122.0313266,47.6285782
WA,Pierce,TESLA,MODEL 3,1,-122.3085456,47.1042426
WA,King,KIA,SPORTAGE,1,-122.363215,47.3084
WA,Thurston,TESLA,MODEL Y,1,-122.92145,47.045935
WA,King,TESLA,MODEL Y,1,-122.0313266,47.6285782
WA,King,CHEVROLET,BOLT EUV,1,-122.388675,47.5415
WA,King,FORD,MUSTANG MACH-E,1,-122.329075,47.6018
WA,King,TESLA,MODEL Y,1,-122.3185,47.67949
WA,King,TESLA,MODEL Y,1,-122.33589,47.61099
WA,Thurston,PORSCHE,CAYENNE,1,-122.7474291,47.0821119
WA,King,TESLA,MODEL Y,1,-122.12302,47.67668
WA,Snohomish,TESLA,MODEL Y,1,-122.2247757,47.9156409
WA,Benton,CHEVROLET,BOLT EV,1,-119.2952071,46.272495
WA,King,RIVIAN,R1T,1,-122.180505,47.500055
WA,King,TESLA,MODEL 3,1,-122.363215,47.3084
WA,Pierce,KIA,EV6,1,-122.275748,47.1395924
WA,King,VOLKSWAGEN,ID.4,1,-122.34301,47.659185
WA,King,TESLA,MODEL Y,1,-122.15734,47.487175
WA,King,HYUNDAI,IONIQ 5,1,-122.34301,47.659185
WA,King,HYUNDAI,IONIQ 5,1,-122.2377542,47.582905
WA,King,TESLA,MODEL Y,1,-122.355145,47.505655
WA,King,TESLA,MODEL Y,1,-122.15734,47.487175
WA,King,TESLA,MODEL Y,1,-122.2377542,47.582905
WA,Clark,KIA,EV6,1,-122.405565,45.59009
WA,Kitsap,TESLA,MODEL Y,1,-122.6468815,47.6344364
WA,Snohomish,TESLA,MODEL Y,1,-122.2247757,47.9156409
WA,King,HYUNDAI,IONIQ 6,1,-122.34301,47.659185
WA,Yakima,KIA,SPORTAGE,1,-120.524012,46.5973939
WA,King,POLESTAR,PS2,1,-122.30823,47.581975
WA,King,HYUNDAI,IONIQ 6,1,-122.356145,47.52104
WA,Okanogan,KIA,SORENTO,1,-119.43496,48.935165
WA,King,PORSCHE,CAYENNE,1,-122.111625,47.36078
WA,King,RIVIAN,R1S,1,-122.319115,47.66132
WA,King,LUCID,AIR,1,-122.12302,47.67668
WA,Snohomish,FORD,TRANSIT,1,-122.091505,47.915555
WA,King,FORD,MUSTANG MACH-E,1,-121.8740496,47.5345546
WA,Walla Walla,TESLA,MODEL 3,1,-119.0127002,46.1971863
WA,King,MERCEDES-BENZ,EQE-CLASS SEDAN,1,-122.12302,47.67668
WA,King,TESLA,MODEL Y,1,-122.12302,47.67668
WA,King,CHRYSLER,PACIFICA,1,-122.21024,47.4797047
WA,King,TESLA,MODEL Y,1,-122.16937,47.571015
WA,King,FORD,MUSTANG MACH-E,1,-122.2377542,47.582905
WA,King,TESLA,MODEL Y,1,-122.12302,47.67668
WA,King,FORD,MUSTANG MACH-E,1,-122.00498,47.31187
WA,Snohomish,KIA,NIRO,1,-122.112265,48.0047
WA,King,TESLA,MODEL Y,1,-122.28339,47.549285
WA,King,RIVIAN,R1S,1,-122.34301,47.659185
WA,King,TESLA,MODEL Y,1,-122.2377542,47.582905
WA,King,HYUNDAI,IONIQ 5,1,-122.37275,47.68968
WA,King,TESLA,MODEL X,1,-121.999595,47.547635
WA,King,TESLA,MODEL Y,1,-122.197,47.43876
WA,King,TESLA,MODEL X,1,-122.180505,47.500055
WA,Pierce,TESLA,MODEL Y,1,-122.589645,47.342345
WA,Snohomish,TOYOTA,BZ4X,1,-122.240535,47.91139
WA,Thurston,KIA,NIRO,1,-122.8874781,47.0519573
WA,King,TESLA,MODEL Y,1,-122.197,47.43876
WA,Snohomish,TESLA,MODEL Y,1,-122.112265,48.0047
WA,King,TESLA,MODEL Y,1,-122.37275,47.68968
WA,King,TESLA,MODEL Y,1,-122.0313266,47.6285782
WA,King,TESLA,MODEL Y,1,-122.12302,47.67668
WA,King,TESLA,MODEL Y,1,-122.356145,47.52104
WA,King,VOLKSWAGEN,ID.4,1,-122.355145,47.505655
WA,King,PORSCHE,CAYENNE,1,-122.2377542,47.582905
WA,King,NISSAN,ARIYA,1,-122.32863,47.46233
WA,King,FORD,MUSTANG MACH-E,1,-122.201905,47.61385
WA,Kitsap,TESLA,MODEL 3,1,-122.639265,47.5373
WA,King,NISSAN,LEAF,1,-122.329815,47.57981
WA,King,AUDI,E-TRON,1,-122.382425,47.77279
WA,King,TESLA,MODEL 3,1,-122.15734,47.487175
WA,King,HYUNDAI,IONIQ 5,1,-122.28339,47.549285
WA,Pierce,KIA,NIRO,1,-122.40872,47.165675
WA,King,KIA,SPORTAGE,1,-122.3185,47.67949
WA,King,POLESTAR,PS2,1,-122.28339,47.549285
WA,Kitsap,TESLA,MODEL Y,1,-122.5235781,47.6293323
WA,King,TESLA,MODEL Y,1,-122.341345,47.465925
WA,Clark,BMW,530E,1,-122.589388,45.6228731
WA,King,HYUNDAI,IONIQ 5,1,-122.28339,47.549285
WA,King,KIA,NIRO,1,-121.999595,47.547635
WA,King,TESLA,MODEL Y,1,-122.180505,47.500055
WA,Pierce,TESLA,MODEL Y,1,-122.537565,47.231645
WA,King,TESLA,MODEL Y,1,-122.32863,47.46233
WA,King,CHRYSLER,PACIFICA,1,-122.16937,47.571015
WA,King,KIA,EV6,1,-122.37439,47.54468
WA,King,TESLA,MODEL 3,1,-122.12302,47.67668
WA,Snohomish,JEEP,GRAND CHEROKEE,1,-122.112265,48.0047
WA,Snohomish,TESLA,MODEL Y,1,-122.1876761,47.820517
WA,King,TESLA,MODEL Y,1,-122.3223156,47.6402108
WA,Thurston,TESLA,MODEL Y,1,-122.9131017,47.0135926
WA,King,BMW,IX,1,-122.03646,47.534065
WA,King,TESLA,MODEL Y,1,-122.3175,47.7578146
WA,King,PORSCHE,TAYCAN,1,-122.201905,47.61385
WA,King,TESLA,MODEL Y,1,-122.180505,47.500055
WA,Clark,KIA,SPORTAGE,1,-122.74291,45.818445
WA,Snohomish,HYUNDAI,IONIQ 6,1,-122.37507,47.80807
WA,King,TESLA,MODEL Y,1,-122.329075,47.6018
WA,King,VOLKSWAGEN,ID.4,1,-122.37275,47.68968
WA,King,TESLA,MODEL Y,1,-122.12302,47.67668
WA,King,TESLA,MODEL Y,1,-122.3185,47.67949
WA,King,TESLA,MODEL X,1,-122.2504747,47.7617128
WA,King,TESLA,MODEL 3,1,-122.319115,47.66132
WA,Kitsap,TESLA,MODEL 3,1,-122.6851642,47.506453
WA,King,RIVIAN,R1S,1,-122.34848,47.632405
WA,King,TESLA,MODEL 3,1,-122.15734,47.487175
WA,King,VOLKSWAGEN,ID.4,1,-122.16937,47.571015
WA,King,TESLA,MODEL 3,1,-122.2012521,47.3931814
WA,King,AUDI,E-TRON,1,-122.329075,47.6018
WA,Jefferson,RIVIAN,R1S,1,-122.7644197,48.1195874
WA,Thurston,TESLA,MODEL Y,1,-122.89692,47.043535
WA,King,VOLKSWAGEN,ID.4,1,-122.356145,47.52104
WA,King,TESLA,MODEL X,1,-121.999595,47.547635
WA,King,TESLA,MODEL Y,1,-122.111625,47.36078
WA,King,TESLA,MODEL Y,1,-122.0370611,47.6887161
WA,Kitsap,TESLA,MODEL 3,1,-122.6851642,47.506453
WA,King,TESLA,MODEL Y,1,-122.355145,47.505655
WA,King,VOLKSWAGEN,ID.4,1,-122.394185,47.639195
WA,King,BMW,330E,1,-122.12302,47.67668
WA,King,CHEVROLET,BOLT EUV,1,-122.378895,47.66905
WA,King,KIA,SPORTAGE,1,-122.38679,47.56484
WA,Snohomish,TESLA,MODEL 3,1,-122.112265,48.0047
WA,King,TESLA,MODEL 3,1,-122.37275,47.68968
WA,Snohomish,TESLA,MODEL Y,1,-122.091505,47.915555
WA,Pierce,HYUNDAI,IONIQ 5,1,-122.28718,47.190465
WA,King,VOLVO,XC60,1,-122.209285,47.71124
WA,King,RIVIAN,R1T,1,-122.388675,47.5415
WA,King,TESLA,MODEL 3,1,-122.326965,47.55015
WA,King,CHRYSLER,PACIFICA,1,-122.21024,47.4797047
WA,King,JEEP,GRAND CHEROKEE,1,-122.394185,47.639195
WA,King,TESLA,MODEL Y,1,-122.34301,47.659185
WA,Franklin,TESLA,MODEL 3,1,-119.0982,46.232395
WA,King,TESLA,MODEL Y,1,-122.28339,47.549285
WA,King,TESLA,MODEL Y,1,-122.209285,47.71124
WA,King,VOLVO,XC90,1,-122.363815,47.63046
WA,King,TESLA,MODEL 3,1,-122.37275,47.68968
WA,King,TESLA,MODEL Y,1,-122.21024,47.4797047
WA,Clark,JEEP,GRAND CHEROKEE,1,-122.3538285,45.5838634
WA,King,AUDI,Q4,1,-122.12302,47.67668
WA,King,NISSAN,ARIYA,1,-122.20264,47.6785
WA,Clallam,RIVIAN,R1T,1,-123.105015,48.08104
WA,Snohomish,RIVIAN,R1S,1,-122.37507,47.80807
WA,King,TESLA,MODEL Y,1,-122.180505,47.500055
WA,King,TESLA,MODEL 3,1,-122.15734,47.487175
WA,King,HYUNDAI,IONIQ 5,1,-122.15734,47.487175
WA,King,VOLKSWAGEN,ID.4,1,-122.180505,47.500055
WA,King,KIA,EV6,1,-122.1820969,47.3198995
WA,King,TESLA,MODEL 3,1,-122.15734,47.487175
WA,King,BMW,X5,1,-122.180505,47.500055
WA,King,TESLA,MODEL Y,1,-122.319115,47.66132
WA,King,PORSCHE,TAYCAN,1,-122.2504747,47.7617128
WA,King,BMW,I4,1,-122.3223156,47.6402108
WA,Thurston,MINI,HARDTOP,1,-122.61023,46.94126
WA,Snohomish,RIVIAN,R1S,1,-122.112265,48.0047
WA,King,RIVIAN,R1S,1,-122.306935,47.62441
WA,Benton,CHEVROLET,BOLT EV,1,-119.2952071,46.272495
WA,King,TESLA,MODEL Y,1,-122.2504747,47.7617128
WA,Pierce,TESLA,MODEL Y,1,-122.1820969,47.3198995
WA,King,TESLA,MODEL 3,1,-122.2012521,47.3931814
WA,King,TESLA,MODEL Y,1,-122.16937,47.571015
WA,King,VOLKSWAGEN,ID.4,1,-122.12302,47.67668
WA,King,HYUNDAI,IONIQ 5,1,-122.3185,47.67949
WA,King,TESLA,MODEL 3,1,-122.16085,47.624515
WA,Snohomish,TESLA,MODEL Y,1,-122.1876761,47.820517
WA,King,TESLA,MODEL 3,1,-122.0370611,47.6887161
WA,King,CHRYSLER,PACIFICA,1,-122.21024,47.4797047
WA,Benton,KIA,NIRO,1,-119.113535,46.204945
WA,Thurston,TESLA,MODEL Y,1,-122.89692,47.043535
WA,King,RIVIAN,R1S,1,-122.29179,47.43473
WA,King,TESLA,MODEL Y,1,-122.388675,47.5415
WA,King,CHEVROLET,BOLT EV,1,-122.31327,47.32329
WA,Clark,TESLA,MODEL Y,1,-122.53218,45.77945
WA,King,MERCEDES-BENZ,EQE-CLASS SEDAN,1,-122.16085,47.624515
WA,King,MITSUBISHI,OUTLANDER,1,-122.356145,47.52104
WA,Clark,TESLA,MODEL Y,1,-122.74291,45.818445
WA,King,KIA,NIRO,1,-122.234385,47.494545
WA,King,HYUNDAI,IONIQ 5,1,-122.28339,47.549285
WA,King,BMW,330E,1,-122.147385,47.599975
WA,King,TESLA,MODEL Y,1,-122.12302,47.67668
WA,Thurston,TESLA,MODEL Y,1,-122.9131017,47.0135926
WA,Snohomish,TESLA,MODEL Y,1,-122.179458,47.802589
WA,King,TESLA,MODEL Y,1,-122.329075,47.6018
WA,Snohomish,TESLA,MODEL 3,1,-122.2551991,47.8650827
WA,King,TESLA,MODEL Y,1,-122.03646,47.534065
WA,King,TESLA,MODEL Y,1,-122.34848,47.632405
WA,King,TESLA,MODEL Y,1,-122.2504747,47.7617128
WA,King,VOLVO,XC90,1,-122.3185,47.67949
WA,King,BMW,X5,1,-121.8740496,47.5345546
WA,King,TESLA,MODEL 3,1,-122.28339,47.549285
WA,Pacific,TESLA,MODEL 3,1,-123.72855,46.686115
WA,King,TESLA,MODEL Y,1,-122.12302,47.67668
WA,Snohomish,VOLKSWAGEN,ID.4,1,-122.3684051,48.2414921
WA,King,TESLA,MODEL 3,1,-122.3185,47.67949
WA,King,TESLA,MODEL Y,1,-122.209285,47.71124
WA,Whatcom,MERCEDES-BENZ,EQS-CLASS SUV,1,-122.4569227,48.7470973
WA,Pierce,TESLA,MODEL Y,1,-122.2032237,47.0942956
WA,King,TESLA,MODEL Y,1,-122.28339,47.549285
WA,King,TESLA,MODEL Y,1,-122.12302,47.67668
WA,Pierce,CHEVROLET,BOLT EUV,1,-122.5835454,47.3234488
WA,King,JEEP,WRANGLER,1,-122.199755,47.37483
WA,Thurston,TESLA,MODEL 3,1,-122.8285,47.03646
WA,King,TESLA,MODEL Y,1,-122.180505,47.500055
WA,King,TESLA,MODEL Y,1,-122.151665,47.75855
WA,Kitsap,JEEP,GRAND CHEROKEE,1,-122.50156,47.8019
WA,Clark,JEEP,GRAND CHEROKEE,1,-122.4853873,45.6083347
WA,King,AUDI,Q5 E,1,-122.180505,47.500055
WA,King,TESLA,MODEL 3,1,-122.326965,47.55015
WA,King,TESLA,MODEL Y,1,-121.8740496,47.5345546
WA,King,TESLA,MODEL Y,1,-122.319115,47.66132
WA,Kitsap,TESLA,MODEL 3,1,-122.5235781,47.6293323
WA,King,NISSAN,LEAF,1,-122.319115,47.66132
WA,King,TESLA,MODEL Y,1,-122.356145,47.52104
WA,Skagit,HYUNDAI,IONIQ 5,1,-122.615305,48.501275
WA,Pierce,TESLA,MODEL 3,1,-122.589645,47.342345
