State,County,Make,Model,Longitude,Latitude
WA,Clark,TESLA,MODEL Y,-122.5146473,45.67862
WA,King,MERCEDES-BENZ,EQB-CLASS,-122.3185,47.67949
WA,Pierce,TESLA,MODEL 3,-122.299155,47.19178
WA,Snohomish,TESLA,MODEL 3,-122.112265,48.0047
WA,Snohomish,TESLA,MODEL Y,-122.179458,47.802589
WA,King,POLESTAR,PS2,-122.355145,47.505655
WA,Benton,TESLA,MODEL 3,-119.1973001,46.1911488
WA,King,FORD,F-150,-122.151665,47.75855
WA,Snohomish,TESLA,MODEL 3,-122.12324,48.19485
WA,King,TESLA,MODEL 3,-122.344125,47.61546
WA,King,TESLA,MODEL 3,-122.34848,47.632405
WA,Snohomish,TESLA,MODEL 3,-122.1713847,48.10433
WA,Douglas,TESLA,MODEL Y,-120.28619,47.417755
WA,King,HYUNDAI,IONIQ 5,-122.0370611,47.6887161
WA,King,TESLA,MODEL X,-122.33589,47.61099
WA,Snohomish,TESLA,MODEL 3,-121.972215,47.85674
WA,King,CADILLAC,LYRIQ,-122.12302,47.67668
WA,King,VOLKSWAGEN,ID.4,-122.209285,47.71124
WA,Snohomish,TESLA,MODEL Y,-122.2247757,47.9156409
WA,King,TESLA,MODEL Y,-122.28339,47.549285
WA,King,TESLA,MODEL 3,-122.147385,47.599975
WA,Walla Walla,TESLA,MODEL Y,-118.38409,46.043895
WA,Whatcom,TESLA,MODEL Y,-122.4584536,48.9461196
WA,Snohomish,TESLA,MODEL Y,-121.972215,47.85674
WA,Clark,VOLVO,XC40,-122.4853873,45.6083347
WA,Grant,JEEP,GRAND CHEROKEE,-119.55513,47.31936
WA,Clark,VOLKSWAGEN,ID.4,-122.74291,45.818445
WA,Snohomish,TESLA,MODEL Y,-122.1876761,47.820517
WA,Snohomish,TESLA,MODEL Y,-122.179458,47.802589
WA,King,MINI,HARDTOP,-122.16937,47.571015
WA,Snohomish,TESLA,MODEL Y,-122.1876761,47.820517
WA,Whatcom,KIA,NIRO,-122.74499,48.99505
WA,Benton,KIA,NIRO,-119.28753,46.29747
WA,Pierce,TESLA,MODEL Y,-122.44131,47.25207
WA,Pierce,BMW,X5,-122.31774,47.246525
WA,Pacific,AUDI,Q5 E,-124.04853,46.4972
WA,Pierce,TESLA,MODEL 3,-122.596275,47.097005
WA,Clark,FORD,MUSTANG MACH-E,-122.74291,45.818445
WA,Okanogan,TESLA,MODEL 3,-120.405315,48.59203
WA,Benton,HYUNDAI,IONIQ 5,-119.2952071,46.272495
WA,King,TESLA,MODEL 3,-122.3175,47.7578146
WA,Snohomish,TESLA,MODEL 3,-122.1876761,47.820517
WA,King,TESLA,MODEL 3,-122.05191,47.357985
WA,King,TESLA,MODEL 3,-122.12302,47.67668
WA,King,JEEP,WRANGLER,-121.98104,47.358625
WA,Stevens,JEEP,GRAND CHEROKEE,-117.5967686,47.8204962
WA,King,CHEVROLET,BOLT EUV,-122.30839,47.610365
WA,King,TESLA,MODEL Y,-122.12302,47.67668
WA,Snohomish,TESLA,MODEL Y,-122.335685,47.80372
WA,Snohomish,TESLA,MODEL 3,-122.1876761,47.820517
WA,Spokane,JEEP,WRANGLER,-117.2459114,47.6525293
WA,King,TESLA,MODEL 3,-122.286465,47.476
WA,King,TESLA,MODEL X,-122.201905,47.61385
WA,King,TESLA,MODEL Y,-122.16937,47.571015
WA,King,NISSAN,LEAF,-122.28339,47.549285
WA,King,SUBARU,SOLTERRA,-122.29179,47.43473
WA,King,TESLA,MODEL Y,-122.180505,47.500055
WA,King,KIA,EV6,-122.382425,47.77279
WA,King,TESLA,MODEL Y,-122.15734,47.487175
WA,Snohomish,TESLA,MODEL 3,-122.30842,47.78416
WA,King,TESLA,MODEL Y,-122.12302,47.67668
WA,Pierce,JEEP,WRANGLER,-122.183805,47.18062
WA,Snohomish,TESLA,MODEL Y,-122.316675,47.819365
WA,Thurston,KIA,NIRO,-122.89692,47.043535
WA,Pierce,JEEP,WRANGLER,-122.40872,47.165675
WA,Snohomish,TESLA,MODEL Y,-122.179458,47.802589
WA,Franklin,TESLA,MODEL X,-119.0982,46.232395
WA,King,TESLA,MODEL 3,-122.20264,47.6785
WA,King,VOLKSWAGEN,ID.4,-122.296385,47.71558
WA,King,TESLA,MODEL Y,-122.151665,47.75855
WA,Adams,FORD,F-150,-118.376715,47.12569
WA,Yakima,TESLA,MODEL S,-120.3795117,46.55609
WA,Cowlitz,TOYOTA,BZ4X,-122.90724,46.14458
WA,Clark,JEEP,GRAND CHEROKEE,-122.74291,45.818445
WA,Snohomish,TESLA,MODEL Y,-122.17673,48.05542
WA,King,TESLA,MODEL Y,-122.03309,47.58153
WA,Snohomish,TESLA,MODEL Y,-122.213105,47.95479
WA,Grant,JEEP,WRANGLER,-119.8508676,47.2335835
WA,Thurston,FORD,MUSTANG MACH-E,-122.89692,47.043535
WA,Snohomish,CHEVROLET,BOLT EUV,-122.335685,47.80372
WA,King,TESLA,MODEL Y,-122.03646,47.534065
WA,Snohomish,HYUNDAI,IONIQ 5,-121.814825,47.868195
WA,Spokane,TOYOTA,RAV4 PRIME,-117.369705,47.62637
WA,Clark,TESLA,MODEL Y,-122.405565,45.59009
WA,Pierce,HYUNDAI,IONIQ 5,-122.460375,47.26455
WA,Clallam,TESLA,MODEL X,-123.424865,48.110695
WA,King,TESLA,MODEL Y,-122.20264,47.6785
WA,Clallam,TOYOTA,RAV4 PRIME,-123.424865,48.110695
WA,Kitsap,BMW,I4,-122.5235781,47.6293323
WA,Snohomish,TESLA,MODEL Y,-122.1876761,47.820517
WA,King,TESLA,MODEL Y,-122.33589,47.61099
WA,King,NISSAN,LEAF,-122.0370611,47.6887161
WA,Clark,TESLA,MODEL Y,-122.405565,45.59009
WA,Snohomish,KIA,EV6,-122.12324,48.19485
WA,King,TESLA,MODEL Y,-122.0370611,47.6887161
WA,Snohomish,TESLA,MODEL Y,-122.297265,47.84182
WA,King,TESLA,MODEL 3,-122.31327,47.32329
WA,Snohomish,TESLA,MODEL Y,-122.335685,47.80372
WA,Snohomish,TESLA,MODEL Y,-122.1876761,47.820517
WA,King,TESLA,MODEL Y,-122.30823,47.581975
WA,King,RIVIAN,R1T,-122.03646,47.534065
WA,Thurston,MITSUBISHI,OUTLANDER,-122.89692,47.043535
WA,Benton,BMW,I4,-119.2952071,46.272495
WA,King,TESLA,MODEL Y,-122.33589,47.61099
WA,Kitsap,KIA,EV6,-122.639265,47.5373
WA,Snohomish,TESLA,MODEL 3,-122.091505,47.915555
WA,Snohomish,TESLA,MODEL 3,-122.37507,47.80807
WA,King,KIA,EV6,-122.29179,47.43473
WA,King,RIVIAN,R1S,-122.3185,47.67949
WA,Snohomish,TESLA,MODEL Y,-122.297265,47.84182
WA,Clark,TESLA,MODEL Y,-122.74291,45.818445
WA,King,TESLA,MODEL 3,-122.34584,47.76726
WA,Pierce,KIA,SORENTO,-122.183805,47.18062
WA,Spokane,CHRYSLER,PACIFICA,-117.288055,47.68043
WA,Kitsap,TESLA,MODEL 3,-122.6851642,47.506453
WA,Clark,CHEVROLET,BOLT EUV,-122.53218,45.77945
WA,King,TESLA,MODEL Y,-121.9810747,47.7377962
WA,Mason,TESLA,MODEL Y,-122.9529423,47.3248964
WA,King,TESLA,MODEL Y,-122.363815,47.63046
WA,Snohomish,TOYOTA,BZ4X,-122.2247757,47.9156409
WA,King,TESLA,MODEL Y,-122.0370611,47.6887161
WA,Snohomish,TESLA,MODEL 3,-122.179458,47.802589
WA,Pierce,KIA,EV6,-122.4096963,47.2174975
WA,King,TESLA,MODEL 3,-122.34584,47.76726
WA,King,KIA,EV6,-122.34584,47.76726
WA,Pierce,VOLKSWAGEN,ID.4,-122.2953401,47.0763961
WA,Kitsap,TESLA,MODEL Y,-122.64177,47.737525
WA,King,TESLA,MODEL 3,-122.16937,47.571015
WA,Snohomish,KIA,SPORTAGE,-122.297265,47.84182
WA,King,HYUNDAI,IONIQ 6,-122.201905,47.61385
WA,King,TESLA,MODEL X,-122.16937,47.571015
WA,Thurston,KIA,NIRO,-122.92145,47.045935
WA,King,FORD,MUSTANG MACH-E,-122.15734,47.487175
WA,King,RIVIAN,R1S,-122.228025,47.61598
WA,King,VOLVO,XC40,-122.363215,47.3084
WA,Snohomish,MINI,HARDTOP,-122.15134,47.8851158
WA,Island,HYUNDAI,IONIQ 6,-122.5310901,48.2192797
WA,King,TESLA,MODEL Y,-122.1298876,47.4451257
WA,King,SUBARU,SOLTERRA,-122.29179,47.43473
WA,Skagit,HYUNDAI,IONIQ 5,-122.615305,48.501275
WA,King,FORD,F-150,-122.34848,47.632405
WA,Clark,TESLA,MODEL Y,-122.5146473,45.67862
WA,King,NISSAN,LEAF,-122.34848,47.632405
WA,Spokane,CHRYSLER,PACIFICA,-117.288055,47.68043
WA,Pierce,TESLA,MODEL 3,-122.6657985,47.383359
WA,Snohomish,TESLA,MODEL Y,-122.112265,48.0047
WA,Snohomish,TESLA,MODEL X,-122.1876761,47.820517
WA,King,TESLA,MODEL 3,-122.34848,47.632405
WA,King,TESLA,MODEL 3,-121.999595,47.547635
WA,Spokane,VOLKSWAGEN,ID.4,-117.40725,47.718625
WA,Jefferson,TESLA,MODEL 3,-122.7644197,48.1195874
WA,Benton,FORD,F-150,-119.1973001,46.1911488
WA,Pierce,AUDI,Q5 E,-122.589645,47.342345
WA,Pierce,MINI,HARDTOP,-122.183805,47.18062
WA,Clark,TESLA,MODEL Y,-122.589388,45.6228731
WA,King,JEEP,WRANGLER,-121.999595,47.547635
WA,Kitsap,TESLA,MODEL Y,-122.65223,47.57192
WA,Clark,TESLA,MODEL Y,-122.5146473,45.67862
WA,Whatcom,TESLA,MODEL Y,-122.74499,48.99505
WA,Snohomish,TESLA,MODEL Y,-122.179458,47.802589
WA,Douglas,PORSCHE,CAYENNE,-120.28619,47.417755
WA,Pierce,CHEVROLET,BOLT EV,-122.183805,47.18062
WA,King,TESLA,MODEL Y,-122.3185,47.67949
WA,King,TESLA,MODEL 3,-122.03646,47.534065
WA,Spokane,VOLKSWAGEN,ID.4,-117.369705,47.62637
WA,King,TESLA,MODEL Y,-122.03309,47.58153
WA,Snohomish,TESLA,MODEL Y,-122.1876761,47.820517
WA,King,TESLA,MODEL Y,-121.8740496,47.5345546
WA,King,POLESTAR,PS2,-122.363815,47.63046
WA,Clark,BMW,I4,-122.74291,45.818445
WA,Snohomish,FORD,F-150,-122.151665,47.75855
WA,King,TESLA,MODEL Y,-122.344125,47.61546
WA,Pierce,KIA,EV6,-122.377475,47.096645
WA,Snohomish,TESLA,MODEL S,-121.972215,47.85674
WA,Pierce,NISSAN,ARIYA,-122.23825,47.201625
WA,Clark,MERCEDES-BENZ,EQB-CLASS,-122.5146473,45.67862
WA,King,KIA,NIRO,-122.329075,47.6018
WA,Clallam,TESLA,MODEL Y,-123.105015,48.08104
WA,King,VOLKSWAGEN,ID.4,-122.151665,47.75855
WA,King,VOLKSWAGEN,ID.4,-122.12302,47.67668
WA,King,TESLA,MODEL Y,-122.0313266,47.6285782
WA,King,KIA,EV6,-122.3175,47.7578146
WA,Kittitas,TESLA,MODEL Y,-120.54513,46.993465
WA,Island,VOLKSWAGEN,ID.4,-122.359364,47.9796552
WA,King,POLESTAR,PS2,-122.355145,47.505655
WA,King,TESLA,MODEL S,-122.28339,47.549285
WA,King,JEEP,WRANGLER,-122.151665,47.75855
WA,King,HYUNDAI,IONIQ 5,-122.209285,47.71124
WA,King,TESLA,MODEL Y,-122.209285,47.71124
WA,Snohomish,TESLA,MODEL 3,-122.112265,48.0047
WA,Snohomish,FORD,MUSTANG MACH-E,-122.1876761,47.820517
WA,King,TESLA,MODEL Y,-122.111625,47.36078
WA,King,HYUNDAI,IONIQ 5,-122.31327,47.32329
WA,King,TESLA,MODEL X,-122.111625,47.36078
WA,King,CHEVROLET,BOLT EUV,-122.329075,47.6018
WA,King,TESLA,MODEL Y,-122.30823,47.581975
WA,King,KIA,SPORTAGE,-122.111625,47.36078
WA,Snohomish,TESLA,MODEL Y,-122.297265,47.84182
WA,King,CHEVROLET,BOLT EUV,-122.34584,47.76726
WA,Pierce,VOLVO,XC40,-122.183805,47.18062
WA,King,TESLA,MODEL X,-122.31327,47.32329
WA,Clark,FORD,MUSTANG MACH-E,-122.74291,45.818445
WA,Kitsap,TESLA,MODEL Y,-122.5235781,47.6293323
WA,Thurston,KIA,NIRO,-122.61023,46.94126
WA,Pierce,TESLA,MODEL Y,-122.6657985,47.383359
WA,Skagit,KIA,NIRO,-122.5135345,48.3829111
WA,Pierce,POLESTAR,PS2,-122.547645,47.176685
WA,King,JEEP,WRANGLER,-122.32863,47.46233
WA,King,VOLKSWAGEN,ID.4,-122.111625,47.36078
WA,King,CHEVROLET,BOLT EUV,-122.329075,47.6018
WA,Pierce,MERCEDES-BENZ,EQE-CLASS SUV,-122.435115,47.1045
WA,Thurston,TESLA,MODEL Y,-122.7474291,47.0821119
WA,Thurston,TESLA,MODEL Y,-122.89692,47.043535
WA,Whatcom,KIA,SPORTAGE,-122.20984,48.65409
WA,Pierce,SUBARU,SOLTERRA,-122.2953401,47.0763961
WA,Clallam,VOLKSWAGEN,ID.4,-123.424865,48.110695
WA,Island,TESLA,MODEL 3,-122.67499,48.287295
WA,Snohomish,TESLA,MODEL Y,-122.2247757,47.9156409
WA,Snohomish,TESLA,MODEL Y,-122.1876761,47.820517
WA,Asotin,CHEVROLET,BOLT EV,-117.045685,46.4163
WA,King,MERCEDES-BENZ,EQS-CLASS SUV,-122.16937,47.571015
WA,King,VOLVO,XC90,-122.3175,47.7578146
WA,Snohomish,LINCOLN,AVIATOR,-122.151665,47.75855
WA,King,KIA,EV6,-121.7814012,47.4935316
WA,Pierce,TESLA,MODEL Y,-122.537565,47.231645
WA,King,TESLA,MODEL Y,-122.12302,47.67668
WA,King,TESLA,MODEL Y,-122.2504747,47.7617128
WA,Snohomish,TESLA,MODEL Y,-122.179458,47.802589
WA,King,KIA,SORENTO,-122.32863,47.46233
WA,Snohomish,TESLA,MODEL Y,-122.240535,47.91139
WA,Snohomish,TESLA,MODEL Y,-122.1876761,47.820517
WA,King,TESLA,MODEL Y,-122.30839,47.610365
WA,Pierce,TESLA,MODEL Y,-122.4096963,47.2174975
WA,Snohomish,TESLA,MODEL Y,-122.2247757,47.9156409
WA,King,TESLA,MODEL Y,-121.7814012,47.4935316
WA,King,TESLA,MODEL S,-122.12302,47.67668
WA,Clark,TESLA,MODEL 3,-122.4853873,45.6083347
WA,King,TESLA,MODEL 3,-122.0313266,47.6285782
WA,King,POLESTAR,PS2,-122.341345,47.465925
WA,Snohomish,CHRYSLER,PACIFICA,-122.112265,48.0047
WA,Snohomish,TESLA,MODEL 3,-122.17673,48.05542
WA,Benton,KIA,NIRO,-119.2952071,46.272495
WA,King,TESLA,MODEL Y,-122.378895,47.66905
WA,Snohomish,TESLA,MODEL Y,-122.179458,47.802589
WA,Snohomish,KIA,EV6,-122.112265,48.0047
WA,Pierce,VOLVO,XC60,-122.2987976,47.13795
WA,Snohomish,TESLA,MODEL 3,-122.179458,47.802589
WA,King,TESLA,MODEL X,-122.11832,47.6245
WA,Spokane,FORD,MUSTANG MACH-E,-117.40725,47.718625
WA,Cowlitz,TOYOTA,BZ4X,-122.839465,46.009825
WA,Clark,KIA,SPORTAGE,-122.5146473,45.67862
WA,Thurston,VOLKSWAGEN,ID.4,-122.89692,47.043535
WA,Clark,JEEP,GRAND CHEROKEE,-122.74291,45.818445
WA,King,VOLVO,XC40,-122.151665,47.75855
WA,King,RIVIAN,R1T,-122.201905,47.61385
WA,Kitsap,TESLA,MODEL Y,-122.5235781,47.6293323
WA,Spokane,KIA,NIRO,-117.6773,47.573335
WA,King,NISSAN,LEAF,-122.38679,47.56484
WA,Snohomish,TESLA,MODEL Y,-121.972215,47.85674
WA,King,JEEP,WRANGLER,-122.32863,47.46233
WA,Okanogan,GENESIS,GV60,-120.405315,48.59203
WA,King,BMW,I4,-122.12302,47.67668
WA,Clark,TESLA,MODEL Y,-122.74291,45.818445
WA,King,BMW,530E,-122.00498,47.31187
WA,Snohomish,TESLA,MODEL 3,-122.091505,47.915555
WA,Pierce,GENESIS,GV60,-122.5835454,47.3234488
WA,King,AUDI,Q4,-122.111625,47.36078
WA,Snohomish,HYUNDAI,KONA ELECTRIC,-122.30842,47.78416
WA,King,TESLA,MODEL Y,-122.2504747,47.7617128
WA,Pierce,TESLA,MODEL Y,-122.28718,47.190465
WA,King,SUBARU,SOLTERRA,-122.16937,47.571015
WA,King,MITSUBISHI,OUTLANDER,-122.2012521,47.3931814
WA,Spokane,TESLA,MODEL Y,-117.1407,47.673675
WA,King,CHEVROLET,BOLT EUV,-122.329075,47.6018
WA,Klickitat,VOLKSWAGEN,ID.4,-121.48347,45.72977
WA,Pierce,HYUNDAI,IONIQ 5,-122.435115,47.1045
WA,King,TESLA,MODEL Y,-122.296385,47.71558
WA,Whatcom,CHEVROLET,BOLT EUV,-122.45493,48.76809
WA,Clark,TESLA,MODEL 3,-122.5146473,45.67862
WA,King,BMW,330E,-122.11832,47.6245
WA,King,HYUNDAI,IONIQ 5,-122.382425,47.77279
WA,King,KIA,SPORTAGE,-122.3185,47.67949
WA,King,AUDI,Q5 E,-122.38679,47.56484
WA,King,TESLA,MODEL 3,-122.12302,47.67668
WA,Kitsap,TESLA,MODEL Y,-122.639265,47.5373
WA,Thurston,TESLA,MODEL Y,-122.962555,46.716875
WA,King,TESLA,MODEL Y,-122.3175,47.7578146
WA,King,TESLA,MODEL Y,-122.363815,47.63046
WA,Thurston,JEEP,WRANGLER,-122.7474291,47.0821119
WA,King,TESLA,MODEL Y,-122.12302,47.67668
WA,Pierce,BMW,IX,-122.183805,47.18062
WA,Clark,TESLA,MODEL Y,-122.5146473,45.67862
WA,King,TESLA,MODEL Y,-122.05191,47.357985
WA,Pierce,TESLA,MODEL 3,-122.275748,47.1395924
WA,Pierce,TESLA,MODEL Y,-122.299155,47.19178
WA,Whatcom,POLESTAR,PS2,-122.45493,48.76809
WA,King,TESLA,MODEL Y,-122.3185,47.67949
WA,King,TESLA,MODEL Y,-122.0370611,47.6887161
WA,Clark,JEEP,GRAND CHEROKEE,-122.405565,45.59009
WA,King,TESLA,MODEL 3,-122.235475,47.3809
WA,Thurston,TESLA,MODEL Y,-122.8285,47.03646
WA,King,TESLA,MODEL Y,-122.03309,47.58153
WA,Benton,KIA,EV6,-119.14533,46.187395
WA,Grant,JEEP,GRAND CHEROKEE,-119.485115,47.38686
WA,Pierce,VOLKSWAGEN,ID.4,-122.5835454,47.3234488
WA,Whatcom,TESLA,MODEL Y,-122.74499,48.99505
WA,King,TESLA,MODEL 3,-122.151665,47.75855
WA,King,TESLA,MODEL 3,-122.12302,47.67668
WA,King,FORD,MUSTANG MACH-E,-122.326965,47.55015
WA,Snohomish,TESLA,MODEL 3,-122.1876761,47.820517
WA,Pierce,FORD,MUSTANG MACH-E,-122.029685,47.161465
WA,King,VOLKSWAGEN,ID.4,-122.03646,47.534065
WA,Whatcom,TESLA,MODEL 3,-122.6011039,48.85324
WA,King,TESLA,MODEL Y,-122.0370611,47.6887161
WA,Thurston,VOLVO,C40,-122.81709,46.988575
WA,King,KIA,NIRO,-122.16085,47.624515
WA,Snohomish,TESLA,MODEL Y,-121.814825,47.868195
WA,King,TESLA,MODEL Y,-122.34584,47.76726
WA,Spokane,TESLA,MODEL Y,-117.288055,47.68043
WA,King,BMW,IX,-122.34301,47.659185
WA,King,TESLA,MODEL 3,-122.3185,47.67949
WA,Kitsap,TESLA,MODEL 3,-122.6468815,47.6344364
WA,King,VOLKSWAGEN,ID.4,-122.12302,47.67668
WA,King,SUBARU,SOLTERRA,-122.34584,47.76726
WA,King,TESLA,MODEL 3,-122.16937,47.571015
WA,King,TESLA,MODEL Y,-122.12302,47.67668
WA,Snohomish,TESLA,MODEL Y,-122.299965,47.94171
WA,Snohomish,TESLA,MODEL Y,-122.17673,48.05542
WA,King,JEEP,GRAND CHEROKEE,-122.3175,47.7578146
WA,Clark,TESLA,MODEL Y,-122.3538285,45.5838634
WA,King,KIA,SPORTAGE,-122.16937,47.571015
WA,King,LUCID,AIR,-122.30823,47.581975
WA,Pierce,TESLA,MODEL Y,-122.029685,47.161465
WA,Pierce,TESLA,MODEL Y,-122.28718,47.190465
WA,Snohomish,TESLA,MODEL Y,-122.1876761,47.820517
WA,Pierce,TESLA,MODEL 3,-122.5113356,47.2923828
WA,King,BMW,I4,-122.147385,47.599975
WA,Snohomish,TESLA,MODEL 3,-121.972215,47.85674
WA,Franklin,TESLA,MODEL 3,-119.0982,46.232395
WA,Pierce,TESLA,MODEL Y,-122.36151,47.241885
WA,King,TOYOTA,RAV4 PRIME,-122.37275,47.68968
WA,San Juan,MITSUBISHI,OUTLANDER,-122.9109264,48.5262809
WA,San Juan,HYUNDAI,IONIQ 5,-122.9109264,48.5262809
WA,King,TESLA,MODEL Y,-122.356145,47.52104
WA,Snohomish,TESLA,MODEL Y,-122.091505,47.915555
WA,Snohomish,BMW,X5,-122.20722,47.979935
WA,King,VOLVO,XC40,-122.3223156,47.6402108
WA,Thurston,VOLKSWAGEN,ID.4,-122.89166,47.03956
WA,King,VOLVO,XC90,-122.382425,47.77279
WA,King,TESLA,MODEL 3,-122.2504747,47.7617128
WA,Snohomish,VOLKSWAGEN,ID.4,-122.179458,47.802589
WA,Spokane,MITSUBISHI,OUTLANDER,-117.47501,47.956285
